student,Uni,New_Adjusted_Attrition_2019,New_Normal_Attrition_2019,Success_2020,New_Adjusted_Retention_2019,New_Normal_Retention_2019
domestic,La Trobe University,,,,85.1,
domestic,Monash University,,,,95.38,
domestic,RMIT University,,,,88.54,
domestic,Swinburne University of Technology,,,,80.81,
domestic,The University of Melbourne,,,,96.39,
domestic,University of Divinity,,,,93.65,
domestic,Victoria University,,,,85.18,
domestic,Bond University,,,,95.56,
domestic,CQUniversity,,,,77.64,
domestic,Griffith University,,,,84.01,
domestic,James Cook University,,,,82.83,
domestic,Queensland University of Technology,,,,88.62,
domestic,The University of Queensland,,,,92.42,
domestic,University of Southern Queensland,,,,77.23,
domestic,University of the Sunshine Coast,,,,79.73,
domestic,Curtin University,,,,85.41,
domestic,Edith Cowan University,,,,81.9,
domestic,Murdoch University,,,,83.89,
domestic,The University of Notre Dame Australia,,,,90.35,
domestic,The University of Western Australia,,,,92.03,
domestic,Flinders University,,,,84.77,
domestic,The University of Adelaide,,,,90.7,
domestic,Torrens University Australia(d),,,,76.64,
domestic,University of South Australia,,,,82.19,
domestic,Australian Maritime College(e),,,,.,
domestic,University of Tasmania(e),,,,76.15,
domestic,Batchelor Institute of Indigenous Tertiary Education(f),,,,.,
domestic,Charles Darwin University(f),,,,78.7,
domestic,The Australian National University,,,,94.39,
domestic,University of Canberra,,,,86.47,
domestic,Australian Catholic University,,,,87.6,
international,National Total,,,,,86.91
international,Charles Sturt University,,,,,60.67
international,Macquarie University,,,,,90.01
international,Southern Cross University,,,,,57.08
international,The University of New England,,,,,73.23
international,The University of Newcastle,,,,,90.92
international,The University of Sydney,,,,,90.78
international,University of New South Wales(b),,,,,91.92
international,University of Technology Sydney,,,,,88.4
international,University of Wollongong,,,,,86.91
international,Western Sydney University,,,,,85.16
international,Deakin University,,,,,85.22
international,Federation University Australia(c),,,,,57.55
international,La Trobe University,,,,,82.31
international,Monash University,,,,,91.67
international,RMIT University,,,,,93
international,Swinburne University of Technology,,,,,84.02
international,The University of Melbourne,,,,,93.72
international,University of Divinity,,,,,95.45
international,Victoria University,,,,,86.91
international,Bond University,,,,,86.02
international,CQUniversity,,,,,50.84
international,Griffith University,,,,,87.34
international,James Cook University,,,,,86.91
international,Queensland University of Technology,,,,,90.03
international,The University of Queensland,,,,,94.09
international,University of Southern Queensland,,,,,88.01
international,University of the Sunshine Coast,,,,,65.06
international,Curtin University,,,,,91.51
international,Edith Cowan University,,,,,82.55
international,Murdoch University,,,,,86.44
international,The University of Notre Dame Australia,,,,,84.21
international,The University of Western Australia,,,,,92.77
international,Flinders University,,,,,84.97
international,The University of Adelaide,,,,,89.59
international,Torrens University Australia(d),,,,,62.97
international,University of South Australia,,,,,85.16
international,Australian Maritime College(e),,,,,.
international,University of Tasmania(e),,,,,89.61
international,Batchelor Institute of Indigenous Tertiary Education(f),,,,,.
international,Charles Darwin University(f),,,,,92.23
international,The Australian National University,,,,,94.31
international,University of Canberra,,,,,89.45
international,Australian Catholic University,,,,,88.34
overall,National Total,,,,,81.49
overall,Charles Sturt University,,,,,70.55
overall,Macquarie University,,,,,84.51
overall,Southern Cross University,,,,,67.28
overall,The University of New England,,,,,67.44
overall,The University of Newcastle,,,,,83.69
overall,The University of Sydney,,,,,89.51
overall,University of New South Wales(b),,,,,90.2
overall,University of Technology Sydney,,,,,88
overall,University of Wollongong,,,,,83.48
overall,Western Sydney University,,,,,80.24
overall,Deakin University,,,,,80.41
overall,Federation University Australia(c),,,,,64.37
overall,La Trobe University,,,,,78.37
overall,Monash University,,,,,90.74
overall,RMIT University,,,,,87.11
overall,Swinburne University of Technology,,,,,77
overall,The University of Melbourne,,,,,92.18
overall,University of Divinity,,,,,90.59
overall,Victoria University,,,,,80.42
overall,Bond University,,,,,89.71
overall,CQUniversity,,,,,69.81
overall,Griffith University,,,,,78.05
overall,James Cook University,,,,,80.44
overall,Queensland University of Technology,,,,,82.96
overall,The University of Queensland,,,,,86.63
overall,University of Southern Queensland,,,,,72.15
overall,University of the Sunshine Coast,,,,,71.91
overall,Curtin University,,,,,81.89
overall,Edith Cowan University,,,,,78.15
overall,Murdoch University,,,,,80.56
overall,The University of Notre Dame Australia,,,,,83.29
overall,The University of Western Australia,,,,,86.79
overall,Flinders University,,,,,79.13
overall,The University of Adelaide,,,,,85.53
overall,Torrens University Australia(d),,,,,47.07
overall,University of South Australia,,,,,78.13
overall,Australian Maritime College(e),,,,,.
overall,University of Tasmania(e),,,,,74.58
overall,Batchelor Institute of Indigenous Tertiary Education(f),,,,,.
overall,Charles Darwin University(f),,,,,74.32
overall,The Australian National University,,,,,90.24
overall,University of Canberra,,,,,81.42
overall,Australian Catholic University,,,,,79.87
